doctypefieldcode,total_records,correct_ocr,incorrect_ocr,accuracy (%),error_rate (%),MemoryBased_Accuracy (%),FASSI_Accuracy (%),MemoryBased_Suggested (%),FASSI_Suggested (%),MemoryBased_Overall_Accuracy (%),FASSI_Overall_Accuracy (%)
HoTenChucVuNguoiKy,4921,0,4921,0.0,100.0,38.57,81.06,90.86,82.1,38.57,81.02
GiayToNguoiDiDangKy,1048,2,1046,0.19,99.81,40.46,0.67,73.38,0.19,40.55,0.38
nycSoGiayToTuyThan,1046,9,1037,0.86,99.14,0.19,0.19,98.76,0.19,0.19,1.05
nguoiKy,4947,55,4892,1.11,98.89,58.32,79.66,99.98,82.01,58.32,79.85
QueQuan,2946,253,2693,8.59,91.41,23.83,68.02,99.97,71.72,23.83,70.5
NoiSinh,4933,551,4382,11.17,88.83,15.51,43.56,99.98,58.67,15.51,46.73
NoiThuongTruTamTruMe,2907,536,2371,18.44,81.56,15.69,14.24,99.9,27.28,15.76,18.47
NoiThuongTruTamTruCha,2727,670,2057,24.57,75.43,23.18,20.39,99.85,21.97,23.21,25.08
GhiChu,1744,768,976,44.04,55.96,58.83,62.61,99.6,75.46,58.83,64.28
QuocTichMe,4888,2861,2027,58.53,41.47,58.63,99.32,58.69,99.35,58.63,99.3
QuocTichCha,4608,2707,1901,58.75,41.25,58.98,99.28,59.11,99.35,58.98,99.28
QuocTich,4965,3139,1826,63.22,36.78,63.65,98.99,63.65,99.03,63.63,98.99
HoTen,5164,3947,1217,76.43,23.57,4.07,3.35,99.96,4.32,4.09,76.08
HoTenCha,4568,3704,864,81.09,18.91,17.08,14.32,99.98,14.91,17.1,81.28
HoTenMe,4905,4045,860,82.47,17.53,20.71,17.49,99.98,18.08,20.73,82.77
HoTenNguoiDiDangKy,4965,4149,816,83.56,16.44,15.93,12.91,99.96,13.19,15.95,83.75
QuanHeVoiNguoiDuocKhaiSinh,3758,3306,452,87.97,12.03,88.56,89.97,99.2,95.66,88.66,90.87
DanTocMe,4879,4577,302,93.81,6.19,96.04,96.76,99.88,98.75,96.11,96.82
DanToc,4978,4682,296,94.05,5.95,94.94,96.69,99.86,98.65,95.0,96.79
GioiTinh,4907,4622,285,94.19,5.81,98.98,97.82,99.63,98.1,99.0,97.86
DanTocCha,4617,4368,249,94.61,5.39,95.34,96.58,99.87,98.96,95.41,96.69
NgaySinhMe,2919,2778,141,95.17,4.83,92.12,91.68,99.97,95.75,92.15,95.03
NgaySinhCha,2719,2589,130,95.22,4.78,91.84,91.43,99.96,95.7,91.87,95.11
NoiDangKy,963,963,0,100.0,0.0,49.84,49.84,99.69,49.84,50.16,100.0
NgaySinhGhiBangChu,4309,4309,0,100.0,0.0,4.64,4.85,99.91,4.85,4.73,100.0
