doctypefieldcode,total_records,correct_ocr,incorrect_ocr,accuracy (%),error_rate (%),tfidf_predicted,TFIDF_Predicted (%),tfidf_predicted_correct,tfidf_predicted_wrong,TFIDF_Predict_Accuracy (%),TFIDF_Predict_Error (%),TFIDF_Overall_Accuracy (%),predict_nagative,predict_navative_rate (%),min_time_ms,max_time_ms,avg_time_ms,min_confidence,max_confidence,avg_confidence
DanToc,33,0,33,0.0,100.0,27,81.82,20,7,74.07,25.93,60.61,0,0.0,0.0,2.59,1.42,0.0,1.0,0.82
DanTocCha,32,0,32,0.0,100.0,24,75.0,17,7,70.83,29.17,53.12,0,0.0,0.0,3.33,1.33,0.0,1.0,0.75
DanTocMe,27,0,27,0.0,100.0,22,81.48,14,8,63.64,36.36,51.85,0,0.0,0.0,2.32,1.3,0.0,1.0,0.81
GhiChu,233,0,233,0.0,100.0,146,62.66,82,64,56.16,43.84,35.19,0,0.0,0.0,14.15,1.52,0.0,1.0,0.6
GiayToNguoiDiDangKy,3,0,3,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GioiTinh,239,0,239,0.0,100.0,226,94.56,216,10,95.58,4.42,90.38,0,0.0,0.0,10.85,1.45,0.0,1.0,0.95
HoTen,262,0,262,0.0,100.0,3,1.15,0,3,0.0,100.0,0.0,0,0.0,0.0,3.87,1.09,0.0,1.0,0.01
HoTenChucVuNguoiKy,1290,0,1290,0.0,100.0,1211,93.88,1177,34,97.19,2.81,91.24,0,0.0,0.0,58.88,1.77,0.0,1.0,0.94
HoTenMe,108,0,108,0.0,100.0,1,0.93,1,0,100.0,0.0,0.93,0,0.0,0.0,3.95,0.99,0.0,1.0,0.01
NgaySinhMe,4,0,4,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NgaySinhCha,5,0,5,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoiSinh,1113,0,1113,0.0,100.0,886,79.6,774,112,87.36,12.64,69.54,0,0.0,0.0,55.81,1.57,0.0,1.0,0.78
NoiThuongTruTamTruCha,246,0,246,0.0,100.0,2,0.81,1,1,50.0,50.0,0.41,0,0.0,0.0,57.73,1.46,0.0,1.0,0.01
QuanHeVoiNguoiDuocKhaiSinh,38,0,38,0.0,100.0,14,36.84,6,8,42.86,57.14,15.79,0,0.0,0.0,2.73,1.39,0.0,1.0,0.37
NoiThuongTruTamTruMe,298,0,298,0.0,100.0,6,2.01,1,5,16.67,83.33,0.34,0,0.0,0.0,55.77,1.7,0.0,1.0,0.02
QuocTichCha,4,0,4,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.18,0.3,0.0,0.0,0.0
QuocTichMe,3,0,3,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QueQuan,823,0,823,0.0,100.0,635,77.16,574,61,90.39,9.61,69.74,0,0.0,0.0,4.23,1.51,0.0,1.0,0.77
QuocTich,10,0,10,0.0,100.0,8,80.0,8,0,100.0,0.0,80.0,0,0.0,0.0,1.81,1.06,0.0,1.0,0.8
nguoiKy,1288,0,1288,0.0,100.0,1228,95.34,1217,11,99.1,0.9,94.49,0,0.0,0.0,17.08,1.43,0.0,1.0,0.95
nycSoGiayToTuyThan,3,0,3,0.0,100.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HoTenNguoiDiDangKy,115,1,114,0.87,99.13,1,0.87,1,0,100.0,0.0,1.74,0,0.0,0.0,2.86,1.07,0.0,1.0,0.01
HoTenCha,94,2,92,2.13,97.87,4,4.26,4,0,100.0,0.0,5.32,0,0.0,0.0,3.82,1.3,0.0,1.0,0.04
